EventKey,SessionID,CustomerKey,EventTime,EventType,Page,DeviceType
62,S925,112,2026-01-23 11:12:00,PageView,/home,Tablet
63,S925,112,2026-01-23 11:14:00,ProductView,/product/12,Tablet
64,S925,112,2026-01-23 11:21:00,AddToCart,/addtocart,Tablet
65,S925,112,2026-01-23 11:22:00,Checkout,/checkout,Tablet
66,S925,112,2026-01-23 11:31:00,Purchase,/purchase,Tablet
67,S926,127,2026-03-13 16:51:00,PageView,/home,Desktop
68,S926,127,2026-03-13 16:57:00,ProductView,/product/8,Desktop
69,S926,127,2026-03-13 17:01:00,AddToCart,/addtocart,Desktop
70,S926,127,2026-03-13 17:10:00,Checkout,/checkout,Desktop
71,S927,119,2026-03-11 17:09:00,PageView,/home,Mobile
72,S927,119,2026-03-11 17:12:00,ProductView,/product/3,Mobile
73,S928,125,2026-01-17 08:07:00,PageView,/home,Mobile
74,S928,125,2026-01-17 08:11:00,ProductView,/product/2,Mobile
75,S928,125,2026-01-17 08:16:00,AddToCart,/addtocart,Mobile
76,S929,119,2026-01-12 13:26:00,PageView,/home,Desktop
77,S929,119,2026-01-12 13:30:00,ProductView,/product/8,Desktop
78,S929,119,2026-01-12 13:36:00,AddToCart,/addtocart,Desktop
79,S929,119,2026-01-12 13:44:00,Checkout,/checkout,Desktop
80,S929,119,2026-01-12 13:50:00,Purchase,/purchase,Desktop
81,S930,103,2026-03-19 18:42:00,PageView,/home,Mobile
82,S930,103,2026-03-19 18:45:00,ProductView,/product/3,Mobile
83,S931,107,2026-03-14 12:08:00,PageView,/home,Tablet
84,S931,107,2026-03-14 12:16:00,ProductView,/product/13,Tablet
85,S931,107,2026-03-14 12:17:00,AddToCart,/addtocart,Tablet
86,S931,107,2026-03-14 12:20:00,Checkout,/checkout,Tablet
87,S932,104,2026-02-14 19:01:00,PageView,/home,Desktop
88,S933,114,2026-01-04 21:20:00,PageView,/home,Tablet
89,S933,114,2026-01-04 21:26:00,ProductView,/product/21,Tablet
90,S934,123,2026-02-24 14:21:00,PageView,/home,Tablet
91,S934,123,2026-02-24 14:24:00,ProductView,/product/1,Tablet
92,S934,123,2026-02-24 14:31:00,AddToCart,/addtocart,Tablet
93,S935,115,2026-02-28 10:16:00,PageView,/home,Desktop
94,S935,115,2026-02-28 10:20:00,ProductView,/product/10,Desktop
95,S936,103,2026-02-09 14:19:00,PageView,/home,Tablet
96,S937,100,2026-03-05 14:25:00,PageView,/home,Tablet
97,S937,100,2026-03-05 14:32:00,ProductView,/product/18,Tablet
98,S937,100,2026-03-05 14:40:00,AddToCart,/addtocart,Tablet
99,S938,123,2026-03-22 11:58:00,PageView,/home,Mobile
100,S939,103,2026-02-20 16:51:00,PageView,/home,Desktop
